County,Average Exposure Risk Score,Average Socio-economic Vulnerability Score,Percentage of the Population with Limited Communications Access,Average Health Facilities Access Risk Score,Average Comorbidities Risk Score,Average Total Risk Score
Garissa,3.733950755,4.052818329,0.444369414,4.013282455,3.318932681,11.06616589
Mandera,3.954022213,4.781935527,0.621469034,4.34470603,2.402021569,10.70074981
Marsabit,2.898467041,4.435079146,0.441298933,3.426396319,2.423727426,8.748590787
Turkana,3.030140212,4.876818564,0.728522371,4.754725252,1.739468052,9.524333515
Wajir,4.192897687,4.734474728,0.596375632,4.152284279,2.098401544,10.44358351
Kilifi,2.382948952,3.428986361,0.247850319,2.423495249,4.338573732,9.145017932
Kwale,2.029350349,4.107868063,0.325214701,2.687753214,3.660680587,8.377784151
Taita Taveta,1.909531704,3.174738916,0.148402591,2.259663231,4.302427293,8.471622229
Mombasa,3.1155211,1.299599647,0.085355696,2.079871001,4.991543327,10.18693543
Narok,1.720204061,4.093209796,0.139462688,2.768892768,3.693399808,8.182496636
Homa Bay,2.189952589,3.465579712,0.113231896,1.683525924,4.325435726,8.19891424
Migori,2.273136293,3.513859388,0.123857131,1.631695408,4.091462848,7.996294548
Nakuru,1.927388828,2.482053223,0.065237247,1.914788037,4.608935184,8.451112048
Kajiado,2.258165367,3.151246497,0.193416655,2.072318814,3.743715557,8.074199738
Kericho,2.105354831,2.806226068,0.092109596,1.723906588,4.637293329,8.466554747
Kisumu,2.517546569,2.79803424,0.085482662,1.642543261,4.679548472,8.839638302
Siaya,2.275553893,3.583252084,0.095284636,1.850055809,4.671890268,8.797499969
Machakos,1.808989886,2.382586772,0.091680825,2.018693618,4.413585956,8.24126946
Kiambu,2.377503118,1.454131436,0.032181144,1.621529782,4.956465924,8.955498824
Nyandarua,1.313704166,2.57782234,0.040618002,1.981253588,4.699182367,7.99414012
Nyeri,1.372886424,2.098429221,0.03788459,1.454147123,4.897997665,7.725031212
Murang'a,1.395315949,2.29263967,0.054832538,2.109222875,4.941569266,8.44610809
Bomet,2.175873134,3.045428466,0.088909551,1.939998489,4.663393783,8.779265407
Kisii,2.620936327,2.950916413,0.163014533,2.269232417,4.981089764,9.871258507
Nyamira,2.394072196,2.725118641,0.129663142,1.856329332,4.939296715,9.189698243
Nairobi,2.965517695,1.071853856,0.021529118,2.309362658,4.997286697,10.27216705
Makueni,1.55777702,2.862902883,0.105101751,2.287952655,4.175845087,8.021574761
Kitui,1.827156481,3.545245972,0.185093189,1.939164114,3.390987703,7.157308298
Lamu,1.201775286,3.707500131,0.196547625,2.576728951,4.193336191,7.971840429
Tana River,2.927160777,4.495615284,0.366618579,3.561547565,2.811983632,9.300691974
Tharaka-Nithi,1.452044431,2.982524329,0.134040947,2.126579086,4.249177386,7.827800903
Embu,1.629200149,2.683769087,0.090953608,1.702795453,4.488258267,7.820253869
Kirinyaga,1.593452631,2.269041514,0.061259035,1.710567218,4.956448133,8.260467983
Busia,2.342726737,3.672818516,0.11242307,1.892578363,4.64101936,8.87632446
Baringo,2.043618435,3.872814995,0.261616596,2.478095993,2.900072315,7.421786742
Bungoma,2.784013258,3.467319303,0.113587735,1.567719146,4.821676309,9.173408713
Elegeyo-Marakwet,1.351261068,3.584569089,0.11856872,3.843232281,3.935860914,9.130354263
Isiolo,3.002802177,3.631269736,0.344052019,2.294775542,3.121939242,8.419516962
Kakamega,2.671029588,3.564023175,0.107454854,1.73794298,4.905094277,9.314066845
Laikipia,1.919640281,3.07268952,0.116315887,2.251226388,3.867889748,8.038756417
Samburu,2.584982421,4.310779093,0.422787459,3.307853706,2.439805606,8.332641733
Uasin Gishu,2.214113057,2.523735613,0.066012896,2.213506007,4.392035527,8.819654591
West Pokot,2.264285307,4.29007896,0.28959604,4.188784514,2.943832263,9.396902084
Vihiga,2.944390289,3.238488494,0.061992032,1.727574689,4.997034291,9.668999269
Nandi,2.049213159,3.146264653,0.113968476,2.166034384,4.505099527,8.72034707
Trans Nzoia,2.29129351,3.059333672,0.083128264,2.762065475,4.65219135,9.705550335
Meru,2.042569916,2.780175802,0.129001262,2.299942168,4.712716094,9.055228178
